# ----------------------------------------
# 1 Master View
# report
# 20200101-20230621
# ----------------------------------------

Дата,Пользователи,Новые пользователи,Сеансов на пользователя,Сред. длительность сеанса,Показатель отказов,Страниц/сеанс,Достигнутые цели,Доход
20211203,8 390,7 734,"1,07",00:02:45,"42,11 %","4,76",1 517,"21 555,66 $"
20221207,8 161,6 641,"1,11",00:04:28,"40,34 %","5,40",3 617,"35 423,39 $"
20220406,6 529,5 768,"1,09",00:03:02,"38,07 %","4,90",1 837,"10 418,93 $"
20220927,6 202,4 051,"1,25",00:07:50,"26,60 %","11,95",4 284,"15 844,59 $"
20221128,5 176,2 929,"1,15",00:04:55,"31,95 %","7,83",2 311,"23 887,74 $"
20220926,5 073,3 518,"1,15",00:06:44,"30,96 %","9,90",2 473,"8 538,38 $"
20220407,4 881,3 943,"1,13",00:02:50,"45,73 %","4,42",1 031,"8 804,04 $"
20230621,4 824,4 195,"1,08",00:02:25,"44,03 %","3,61",621,"0,00 $"
20221208,4 735,3 498,"1,12",00:03:28,"42,98 %","4,99",1 674,"26 677,20 $"
20211204,4 658,4 188,"1,08",00:02:21,"52,78 %","3,97",726,"5 006,29 $"
20211206,4 338,3 386,"1,11",00:03:19,"44,92 %","5,54",1 196,"24 835,77 $"
20210719,4 094,3 007,"1,10",00:03:13,"40,57 %","5,59",1 256,"9 109,56 $"
20211207,4 076,3 022,"1,11",00:03:51,"41,84 %","5,90",1 238,"18 789,11 $"
20220506,3 940,3 281,"1,07",00:02:07,"64,45 %","3,79",644,"11 398,51 $"
20221206,3 927,2 836,"1,12",00:03:37,"40,78 %","5,02",1 600,"16 916,47 $"
20230405,3 922,3 445,"1,08",00:02:31,"50,85 %","3,40",455,"6 320,67 $"
20221103,3 906,2 832,"1,12",00:03:48,"39,36 %","5,75",1 306,"16 901,54 $"
20211209,3 861,2 911,"1,12",00:04:00,"43,26 %","6,24",1 316,"26 428,01 $"
20211208,3 858,2 829,"1,13",00:03:57,"42,22 %","6,08",1 291,"29 633,10 $"
20230620,3 852,3 221,"1,07",00:02:23,"48,02 %","3,57",512,"148,00 $"
20220511,3 791,3 005,"1,11",00:02:54,"51,75 %","4,59",881,"15 720,19 $"
20221101,3 767,2 408,"1,13",00:03:47,"35,89 %","6,14",1 365,"14 418,70 $"
20221108,3 751,2 713,"1,10",00:03:03,"43,95 %","4,62",847,"7 812,04 $"
20221012,3 720,2 494,"1,12",00:03:50,"39,43 %","5,29",1 028,"14 083,69 $"
20201208,3 715,2 879,"1,12",00:03:44,"47,00 %","5,38",610,"324,20 $"
20200804,3 704,3 020,"1,11",00:03:50,"34,99 %","6,31",713,"165,75 $"
20220512,3 643,2 905,"1,11",00:03:10,"54,12 %","4,58",862,"7 872,96 $"
20210227,3 526,3 291,"1,07",00:02:29,"43,79 %","4,34",574,"157,25 $"
20221117,3 492,2 471,"1,12",00:03:11,"41,40 %","4,78",839,"9 499,22 $"
20211019,3 485,2 698,"1,11",00:04:07,"42,52 %","6,44",1 317,"15 329,30 $"
20211205,3 475,3 051,"1,08",00:02:42,"50,80 %","4,31",619,"4 473,32 $"
20201207,3 465,2 658,"1,13",00:03:48,"44,72 %","5,44",586,"321,95 $"
20230601,3 428,2 629,"1,09",00:02:48,"45,85 %","4,26",637,"147,30 $"
20210302,3 415,2 867,"1,10",00:02:31,"51,99 %","3,97",603,"441,28 $"
20220607,3 408,2 572,"1,11",00:03:09,"48,69 %","4,85",891,"14 127,45 $"
20220324,3 401,2 585,"1,11",00:03:34,"41,05 %","5,69",1 015,"14 500,18 $"
20201209,3 396,2 638,"1,13",00:03:47,"47,59 %","5,72",593,"226,10 $"
20220609,3 394,2 520,"1,16",00:03:36,"44,13 %","4,96",905,"13 067,99 $"
20220928,3 387,2 271,"1,12",00:03:32,"41,39 %","5,31",928,"8 394,30 $"
20211103,3 384,2 451,"1,12",00:03:39,"40,01 %","5,49",920,"12 331,64 $"
20230410,3 372,2 822,"1,08",00:02:39,"48,64 %","3,66",432,"4 491,10 $"
20210927,3 364,2 730,"1,09",00:03:02,"49,44 %","4,67",674,"6 293,82 $"
20221212,3 363,2 330,"1,13",00:04:00,"41,97 %","5,30",1 188,"20 981,74 $"
20201210,3 360,2 521,"1,13",00:03:47,"45,92 %","5,67",585,"330,50 $"
20210715,3 360,2 510,"1,09",00:03:32,"40,53 %","5,84",1 174,"12 215,94 $"
20230510,3 313,2 609,"1,12",00:03:07,"47,43 %","4,09",673,"12 231,49 $"
20211026,3 311,2 418,"1,11",00:03:51,"43,16 %","5,47",942,"12 623,43 $"
20221109,3 302,2 466,"1,10",00:03:18,"44,81 %","4,85",792,"13 702,76 $"
20211210,3 300,2 434,"1,12",00:04:48,"42,73 %","7,29",1 335,"26 191,90 $"
20210720,3 291,2 407,"1,12",00:03:17,"42,75 %","5,41",937,"7 444,98 $"
20230412,3 290,2 692,"1,10",00:03:06,"46,55 %","3,88",487,"7 284,52 $"
20230523,3 290,2 649,"1,09",00:02:44,"47,84 %","3,61",444,"256,40 $"
20211129,3 282,2 379,"1,11",00:03:47,"43,03 %","5,55",999,"18 950,14 $"
20220510,3 263,2 497,"1,11",00:03:14,"46,48 %","4,82",834,"11 245,23 $"
20220408,3 262,2 489,"1,13",00:02:53,"45,84 %","4,89",775,"6 225,14 $"
20211104,3 260,2 295,"1,12",00:03:50,"39,91 %","5,41",940,"12 077,09 $"
20220519,3 238,2 503,"1,13",00:03:27,"45,60 %","5,12",874,"12 464,08 $"
20221107,3 237,2 325,"1,10",00:03:22,"42,32 %","5,07",854,"15 174,74 $"
20221104,3 230,2 279,"1,13",00:04:17,"37,77 %","6,24",1 170,"24 437,60 $"
20210722,3 229,2 436,"1,10",00:03:28,"43,81 %","5,65",1 071,"9 212,30 $"
20230616,3 229,2 720,"1,06",00:02:06,"55,01 %","3,30",397,"0,00 $"
20221116,3 227,2 263,"1,10",00:03:21,"42,31 %","4,50",693,"9 221,54 $"
20211122,3 225,2 335,"1,14",00:03:24,"43,96 %","5,38",888,"18 770,57 $"
20220608,3 224,2 404,"1,13",00:03:11,"46,35 %","4,70",814,"7 881,15 $"
20220216,3 206,2 558,"1,10",00:03:03,"46,71 %","4,26",629,"6 670,68 $"
20221201,3 196,2 304,"1,10",00:03:38,"41,00 %","5,04",856,"12 224,58 $"
20221102,3 194,2 266,"1,14",00:04:01,"39,53 %","5,72",1 015,"14 546,30 $"
20230508,3 180,2 573,"1,09",00:03:00,"49,86 %","3,93",460,"4 989,98 $"
20220507,3 167,2 823,"1,07",00:01:39,"73,98 %","2,93",325,"3 433,23 $"
20210422,3 155,2 605,"1,10",00:03:00,"56,16 %","4,74",749,"10 361,19 $"
20220427,3 151,2 418,"1,11",00:03:23,"46,01 %","5,10",787,"14 496,46 $"
20201214,3 148,2 435,"1,12",00:03:45,"46,84 %","5,97",698,"2 992,41 $"
20220419,3 147,2 367,"1,13",00:03:16,"46,70 %","4,74",714,"17 234,22 $"
20220411,3 146,2 347,"1,12",00:03:13,"47,11 %","4,83",784,"11 446,86 $"
20220209,3 140,2 467,"1,13",00:03:24,"47,84 %","4,62",717,"5 908,92 $"
20220525,3 139,2 405,"1,13",00:03:19,"45,46 %","4,90",776,"9 901,71 $"
20220420,3 131,2 349,"1,13",00:03:24,"47,64 %","4,86",805,"8 920,60 $"
20220727,3 130,2 296,"1,12",00:03:38,"39,60 %","5,37",894,"8 340,04 $"
20221019,3 128,2 367,"1,11",00:03:36,"42,93 %","4,66",687,"10 090,24 $"
20210721,3 127,2 313,"1,10",00:03:21,"43,93 %","5,41",917,"6 647,77 $"
